SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532939,RPOWER      ,A ,Q,6.08,6.15,4.94,5.37,5.37,6.05,25003,32487931,176411266.00,
532940,J KUMAR INFR,B ,Q,118.00,138.25,113.55,130.10,130.50,120.45,2127,677246,79894211.00,
532941,CORDS CABLE ,B ,Q,62.20,62.95,62.00,62.95,62.95,62.45,5,205,12843.00,
532942,KNR CONST   ,A ,Q,245.35,245.35,232.30,237.05,232.30,238.65,83,1909,457181.00,
532944,ONMOBILE    ,B ,Q,39.50,39.50,36.95,37.95,37.80,37.00,34,2890,109026.00,
532945,SHRIRAM EPC ,B ,Q,7.80,8.14,7.80,7.85,7.85,8.20,6,771,6089.00,
532946,BANG        ,B ,Q,39.25,40.60,38.75,40.35,40.00,39.20,23,1901,75704.00,
532947,IRB INFRA   ,A ,Q,121.50,123.50,119.75,122.10,121.80,121.85,1707,188307,22982521.00,
532951,GSS INFOTECH,B ,Q,129.05,133.65,128.55,130.95,132.45,129.75,725,31958,4181818.00,
532953,V GUARD IND ,A ,Q,216.30,220.20,216.30,217.80,218.50,218.00,460,24794,5414037.00,
532955,RECLTD      ,A ,Q,148.35,148.35,143.10,144.40,144.40,147.55,872,108451,15711636.00,
532959,GAMMON INFRA,B ,Q,0.60,0.61,0.58,0.58,0.58,0.58,68,250465,148365.00,
532960,IBVENTURES  ,B ,Q,293.95,311.50,283.00,305.00,305.00,297.25,4281,264567,79486221.00,
532966,TITAGARH WAG,B ,Q,62.30,64.00,61.15,62.40,62.20,62.50,270,19616,1219915.00,
532967,KIRI DYES   ,B ,Q,545.15,555.15,539.00,539.65,539.20,543.45,282,5073,2765865.00,
532972,SANKHYA INFO,XT,Q,66.00,69.65,65.00,66.50,66.50,66.35,46,5407,361200.00,
532974,ABML        ,B ,Q,47.00,47.00,45.55,46.30,46.20,47.45,159,17671,816791.00,
532975,AISHWARYA TE,Z ,Q,2.28,2.28,2.28,2.28,2.28,2.28,2,111,253.00,
532976,JAIBALA IND ,T ,Q,32.30,32.30,29.45,29.95,29.50,31.00,9,273,8139.00,
532977,BAJAJ AUTO  ,A ,Q,3008.70,3039.00,2965.80,3032.45,3037.05,2993.25,1185,30434,91681763.00,
532978,BAJAJ FINSE ,A ,Q,7525.00,7625.50,7506.00,7565.15,7575.00,7532.00,864,6036,45749489.00,
532979,PIRPHYTO    ,T ,Q,32.25,32.50,32.25,32.50,32.50,33.70,7,2355,75978.00,
532980,GOKUL REFOIL,B ,Q,7.27,8.32,7.25,8.01,8.01,7.78,34,4071,32178.00,
532983,RPG LIFESCI ,B ,Q,250.00,254.00,225.05,228.80,228.80,235.30,341,7126,1644293.00,
532985,KOTAK SENSEX,B ,Q,397.00,402.00,395.00,400.91,400.00,398.00,17,611,244395.00,
